yolo_element,matched_arch_text,similarity_score
chair,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.14126214249135258
chair,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.14126214249135258
chair,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.14126214249135258
chair,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.14126214249135258
dining table,"In a more contemporary version of the Chinese model, a courtyard can also be used to separate a home into wings ; for example, one wing of the house may be for entertaining/dining, and the other wing may be for sleeping/family/privacy. This is exemplified by the Hooper House in Baltimore, Maryland.",0.11908801695028436
chair,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.14126214249135258
chair,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.14126214249135258
dining table,"In a more contemporary version of the Chinese model, a courtyard can also be used to separate a home into wings ; for example, one wing of the house may be for entertaining/dining, and the other wing may be for sleeping/family/privacy. This is exemplified by the Hooper House in Baltimore, Maryland.",0.11908801695028436
chair,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.14126214249135258
chair,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.14126214249135258
dining table,"In a more contemporary version of the Chinese model, a courtyard can also be used to separate a home into wings ; for example, one wing of the house may be for entertaining/dining, and the other wing may be for sleeping/family/privacy. This is exemplified by the Hooper House in Baltimore, Maryland.",0.11908801695028436
