source_image,yolo_element,spatial_description,matched_arch_page,matched_arch_text,similarity_score
poc_00001.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00001.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00001.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00001.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00001.jpg,dining table,gathering space social centre shared surface communal occupation,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.1522390834879528
poc_00001.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00001.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00001.jpg,dining table,gathering space social centre shared surface communal occupation,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.1522390834879528
poc_00001.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00001.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
